Product,Status,Release Date,Code Name,Cores,Threads,Lithography(nm),Max. Turbo Freq.(GHz),Base Freq.(GHz),TDP(W),Cache(MB),Cache Info,Max Memory Size(GB),Memory Types,Max Memory Speed(MHz),Integrated Graphics
Xeon E7-8891 v4,Discontinued,Q2'16,Broadwell,10,20,14,3.50,2.80,165,60,N/A,3072,"DDR4-1333/1600/1866, DDR3-1066/1333/1600",N/A,N/A
Xeon E7-8893 v4,Discontinued,Q2'16,Broadwell,4,8,14,3.50,3.20,140,60,N/A,3072,"DDR4-1333/1600/1866, DDR3-1066/1333/1600",N/A,N/A
Xeon E7-4809 v3,Discontinued,Q2'15,Haswell,8,16,22,N/A,2.00,115,20,Last Level Cache,1536,"DDR4-1333/1600/1866, DDR3-1066/1333",N/A,N/A
Xeon E7-4820 v3,Discontinued,Q2'15,Haswell,10,20,22,N/A,1.90,115,25,Last Level Cache,1536,"DDR4-1333/1600/1866, DDR3-1066/1333",N/A,N/A
Xeon E7-4830 v3,Discontinued,Q2'15,Haswell,12,24,22,2.70,2.10,115,30,Last Level Cache,1536,"DDR4-1333/1600/1866, DDR3-1066/1333/1600",N/A,N/A
Xeon E7-4850 v3,Discontinued,Q2'15,Haswell,14,28,22,2.80,2.20,115,35,Last Level Cache,1536,"DDR4-1333/1600/1866, DDR3-1066/1333/1600",N/A,N/A
Xeon E7-8860 v3,Discontinued,Q2'15,Haswell,16,32,22,3.20,2.20,140,40,Last Level Cache,1536,"DDR4-1333/1600/1866, DDR3-1066/1333/1600",N/A,N/A
Xeon E7-8867 v3,Discontinued,Q2'15,Haswell,16,32,22,3.30,2.50,165,45,N/A,1536,"DDR4-1333/1600/1866, DDR3-1066/1333/1600",N/A,N/A
Xeon E7-8870 v3,Discontinued,Q2'15,Haswell,18,36,22,2.90,2.10,140,45,Last Level Cache,1536,"DDR4-1333/1600/1866, DDR3-1066/1333/1600",N/A,N/A
Xeon E7-8880 v3,Discontinued,Q2'15,Haswell,18,36,22,3.10,2.30,150,45,Last Level Cache,1536,"DDR4-1333/1600/1866, DDR3-1066/1333/1600",N/A,N/A
Xeon E7-8880L v3,Discontinued,Q2'15,Haswell,18,36,22,2.80,2.00,115,45,Last Level Cache,1536,"DDR4-1333/1600/1866, DDR3-1066/1333/1600",N/A,N/A
Xeon E7-8890 v3,Discontinued,Q2'15,Haswell,18,36,22,3.30,2.50,165,45,Last Level Cache,1536,"DDR4-1333/1600/1866, DDR3-1066/1333/1600",N/A,N/A
Xeon E7-8891 v3,Discontinued,Q2'15,Haswell,10,20,22,3.50,2.80,165,45,Last Level Cache,1536,"DDR4-1333/1600/1866, DDR3-1066/1333/1600",N/A,N/A
Xeon E7-8893 v3,Discontinued,Q2'15,Haswell,4,8,22,3.50,3.20,140,45,Last Level Cache,1536,"DDR4-1333/1600/1866, DDR3-1066/1333/1600",N/A,N/A
Xeon E7-2850 v2,Discontinued,Q1'14,Ivy Bridge,12,24,22,2.80,2.30,105,24,N/A,1536,"DDR3 1066/1333/1600",N/A,N/A
Xeon E7-2870 v2,Discontinued,Q1'14,Ivy Bridge,15,30,22,2.90,2.30,130,30,N/A,1536,"DDR3 1066/1333/1600",N/A,N/A
Xeon E7-2880 v2,Discontinued,Q1'14,Ivy Bridge,15,30,22,3.10,2.50,130,37.5,N/A,1536,"DDR3 1066/1333/1600",N/A,N/A
Xeon E7-2890 v2,Discontinued,Q1'14,Ivy Bridge,15,30,22,3.40,2.80,155,37.5,N/A,1536,"DDR3 1066/1333/1600",N/A,N/A
