Product,Status,Release Date,Code Name,Vertical Segment,Cores,Threads,Lithography(nm),Max. Turbo Freq.(GHz),Base Freq.(GHz),TDP(W),Cache(MB),Cache Info,Max Memory Size(GB),Memory Types,Max Memory Speed(MHz),Max Memory Channels,Integrated Graphics,Sockets Supported,Max Operating Temp.(°C)
Atom x5-Z8500,Discontinued,Q1'15,Cherry Trail,Mobile,4,N/A,14,N/A,1.44,N/A,2,N/A,8,LPDDR3,1600,2,Name Unknown,UTFCBGA1380,90
Atom x7-Z8700,Discontinued,Q1'15,Cherry Trail,Mobile,4,N/A,14,N/A,1.60,N/A,2,N/A,8,LPDDR3,1600,2,Name Unknown,UTFCBGA1380,90
Atom Z3590,Discontinued,Q3'15,Moorefield,Mobile,4,N/A,22,N/A,N/A,N/A,2,N/A,4,LPDDR3,1600,2,Name Unknown,N/A,90
Atom Z3570,Discontinued,Q3'14,Moorefield,Mobile,4,N/A,22,N/A,N/A,N/A,2,N/A,4,LPDDR3,1600,2,Name Unknown,N/A,90
Atom Z3736F,Discontinued,Q2'14,Bay Trail,Mobile,4,N/A,22,N/A,1.33,N/A,2,L2 Cache,2,DDR3L-RS,1333,1,Intel HD Graphics for Intel Atom Z3700 Processor Series,UTFCBGA592,N/A
Atom Z3736G,Discontinued,Q2'14,Bay Trail,Mobile,4,N/A,22,N/A,1.33,N/A,2,L2 Cache,1,DDR3L-RS,1333,1,Intel HD Graphics for Intel Atom Z3700 Processor Series,UTFCBGA592,N/A
Atom Z3530,Discontinued,Q2'14,Moorefield,Mobile,4,N/A,22,N/A,N/A,N/A,2,N/A,4,LPDDR3,1600,2,Name Unknown,FC-MB5T1064,90
Atom Z3785,Discontinued,Q2'14,Bay Trail,Mobile,4,N/A,22,N/A,1.49,N/A,2,L2 Cache,4,LPDDR3,1333,2,Intel HD Graphics for Intel Atom Z3700 Processor Series,UTFCBGA1380,N/A
Atom Z3560,Discontinued,Q2'14,Moorefield,Mobile,4,N/A,22,N/A,N/A,N/A,2,N/A,4,LPDDR3,1600,2,Name Unknown,N/A,90
Atom Z3580,Discontinued,Q2'14,Moorefield,Mobile,4,N/A,22,N/A,N/A,N/A,2,N/A,4,LPDDR3,1600,2,Name Unknown,N/A,90
Atom Z3735F,Discontinued,Q1'14,Bay Trail,Mobile,4,N/A,22,N/A,1.33,N/A,2,L2 Cache,2,DDR3L-RS,1333,1,Intel HD Graphics for Intel Atom Z3700 Processor Series,UTFCBGA592,N/A
Atom Z3735G,Discontinued,Q1'14,Bay Trail,Mobile,4,N/A,22,N/A,1.33,N/A,2,L2 Cache,1,DDR3L-RS,1333,1,Intel HD Graphics for Intel Atom Z3700 Processor Series,UTFCBGA592,N/A
Atom Z3460,Discontinued,Q1'14,Merrifield,Mobile,2,N/A,22,N/A,N/A,N/A,1,Intel Smart Cache,4,LPDDR3,1066,2,Name Unknown,FC-MB5796,90
Atom Z3480,Discontinued,Q1'14,Merrifield,Mobile,2,N/A,22,N/A,N/A,N/A,1,Intel Smart Cache,4,LPDDR3,1066,2,Name Unknown,FC-MB5796,90
Atom Z3735D,Discontinued,Q1'14,Bay Trail,Mobile,4,N/A,22,N/A,1.33,N/A,2,L2 Cache,2,DDR3L-RS,1333,1,Intel HD Graphics for Intel Atom Z3700 Processor Series,UTFCBGA1380,N/A
Atom Z3735E,Discontinued,Q1'14,Bay Trail,Mobile,4,N/A,22,N/A,1.33,N/A,2,L2 Cache,1,DDR3L-RS,1333,1,Intel HD Graphics for Intel Atom Z3700 Processor Series,UTFCBGA1380,N/A
Atom Z3775D,Discontinued,Q1'14,Bay Trail,Mobile,4,N/A,22,N/A,1.49,N/A,2,L2 Cache,2,DDR3L-RS,1333,1,Intel HD Graphics for Intel Atom Z3700 Processor Series,UTFCBGA1380,N/A
Atom Z3795,Discontinued,Q1'14,Bay Trail,Mobile,4,N/A,22,N/A,1.59,N/A,2,L2 Cache,4,LPDDR3,1066,2,Intel HD Graphics for Intel Atom Z3700 Processor Series,UTFCBGA1380,N/A
Atom Z3745,Discontinued,Q1'14,Bay Trail,Mobile,4,N/A,22,N/A,1.33,N/A,2,L2 Cache,4,LPDDR3,1066,2,Intel HD Graphics for Intel Atom Z3700 Processor Series,UTFCBGA1380,90
Atom Z3745D,Discontinued,Q1'14,Bay Trail,Mobile,4,N/A,22,N/A,1.33,N/A,2,L2 Cache,2,DDR3L-RS,1333,1,Intel HD Graphics for Intel Atom Z3700 Processor Series,UTFCBGA1380,N/A
Atom Z3775,Discontinued,Q1'14,Bay Trail,Mobile,4,N/A,22,N/A,1.46,N/A,2,L2 Cache,4,LPDDR3,1066,2,Intel HD Graphics for Intel Atom Z3700 Processor Series,UTFCBGA1380,N/A
Atom Z3740,Discontinued,Q3'13,Bay Trail,Mobile,4,N/A,22,N/A,1.33,N/A,2,L2 Cache,4,LPDDR3,1066,2,Intel HD Graphics for Intel Atom Z3700 Processor Series,UTFCBGA1380,90
Atom Z3740D,Discontinued,Q3'13,Bay Trail,Mobile,4,N/A,22,N/A,1.33,N/A,2,L2 Cache,2,DDR3L-RS,1333,1,Intel HD Graphics for Intel Atom Z3700 Processor Series,UTFCBGA1380,90
Atom Z3770,Discontinued,Q3'13,Bay Trail,Mobile,4,N/A,22,N/A,1.46,N/A,2,L2 Cache,4,LPDDR3,1066,2,Intel HD Graphics for Intel Atom Z3700 Processor Series,UTFCBGA1380,90
