Product,Status,Release Date,Cores,Max. Turbo Freq.(GHz),Base Freq.(GHz),Cache(MB),Cache Info,Integrated Graphics
"Pentium 4 Supporting HT Technology (3.40E GHz, 1M Cache, 800 MHz FSB)",Discontinued,Q1'04,1,N/A,3.40,1,L2 Cache,N/A
"Pentium 4 Supporting HT Technology (3.40 GHz, 1M Cache, 800 MHz FSB)",Discontinued,Q1'04,1,N/A,3.40,1,L2 Cache,N/A
"Pentium 4 Supporting HT Technology (3.40 GHz, 512K Cache, 800 MHz FSB)",Discontinued,N/A,1,N/A,3.40,0.5,L2 Cache,N/A
"Pentium 4 Supporting HT Technology (3.20E GHz, 1M Cache, 800 MHz FSB)",Discontinued,Q1'04,1,N/A,3.20,1,L2 Cache,N/A
"Pentium 4 Supporting HT Technology (3.20 GHz, 1M Cache, 800 MHz FSB)",Discontinued,Q1'04,1,N/A,3.20,1,L2 Cache,N/A
"Pentium 4 Supporting HT Technology (3.20 GHz, 512K Cache, 800 MHz FSB)",Discontinued,N/A,1,N/A,3.20,0.5,L2 Cache,N/A
"Pentium 4 Supporting HT Technology (3.06 GHz, 512K Cache, 533 MHz FSB)",Discontinued,N/A,1,N/A,3.06,0.5,L2 Cache,N/A
"Pentium 4 Supporting HT Technology (3.00E GHz, 1M Cache, 800 MHz FSB)",Discontinued,Q2'04,1,N/A,3.00,1,L2 Cache,N/A
"Pentium 4 Supporting HT Technology (3.00 GHz, 1M Cache, 800 MHz FSB)",Discontinued,Q1'04,1,N/A,3.00,1,L2 Cache,N/A
"Pentium 4 Supporting HT Technology (3.00 GHz, 512K Cache, 800 MHz FSB)",Discontinued,N/A,1,N/A,3.00,0.5,N/A,N/A
"Pentium 4 Supporting HT Technology (2.80E GHz, 1M Cache, 800 MHz FSB)",Discontinued,Q1'04,1,N/A,2.80,1,L2 Cache,N/A
"Pentium 4 Supporting HT Technology (2.80 GHz, 512K Cache, 800 MHz FSB)",Discontinued,N/A,1,N/A,2.80,0.5,L2 Cache,N/A
"Pentium 4 Supporting HT Technology (2.60 GHz, 512K Cache, 800 MHz FSB)",Discontinued,N/A,1,N/A,2.60,0.5,L2 Cache,N/A
"Pentium 4 Supporting HT TEchnology (2.40 GHz, 512K Cache, 800 MHz FSB)",Discontinued,N/A,1,N/A,2.40,0.5,L2 Cache,N/A
Pentium 4 519K,Discontinued,Q4'04,1,N/A,3.06,1,L2 Cache,N/A
Pentium 4 519J,Discontinued,N/A,1,N/A,3.06,1,L2 Cache,N/A
Pentium 4 516,Discontinued,Q4'05,1,N/A,2.93,1,L2 Cache,N/A
Pentium 4 515/515J,Discontinued,Q3'05,1,N/A,2.93,1,L2 Cache,N/A
Pentium 4 511,Discontinued,Q4'05,1,N/A,2.80,1,L2 Cache,N/A
