Product,Status,Release Date,Cores,Max. Turbo Freq.(GHz),Base Freq.(GHz),Cache(MB),Cache Info,Integrated Graphics
"Pentium 4 1.80 GHz, 256K Cache, 400 MHz FSB",Discontinued,N/A,1,N/A,1.80,0.25,L2 Cache,N/A
"Pentium 4 1.80 GHz, 512K Cache, 400 MHz FSB",Discontinued,N/A,1,N/A,1.80,0.5,L2 Cache,N/A
"Pentium 4 1.90 GHz, 256K Cache, 400 MHz FSB",Discontinued,N/A,1,N/A,1.90,0.25,L2 Cache,N/A
"Pentium 4 2.00 GHz, 256K Cache, 400 MHz FSB",Discontinued,N/A,1,N/A,2.00,0.25,L2 Cache,N/A
"Pentium 4 2.00 GHz, 512K Cache, 400 MHz FSB",Discontinued,Q1'02,1,N/A,2.00,0.5,L2 Cache,N/A
"Pentium 4 2.20 GHz, 512K Cache, 400 MHz FSB",Discontinued,Q1'02,1,N/A,2.20,0.5,L2 Cache,N/A
"Pentium 4 2.26 GHz, 512K Cache, 533 MHz FSB",Discontinued,N/A,1,N/A,2.26,0.5,L2 Cache,N/A
"Pentium 4 2.40 GHz, 1M Cache, 533 MHz FSB",Discontinued,N/A,1,N/A,2.40,1,L2 Cache,N/A
"Pentium 4 2.40 GHz, 512K Cache, 400 MHz FSB",Discontinued,Q1'02,1,N/A,2.40,0.5,L2 Cache,N/A
"Pentium 4 2.40 GHz, 512K Cache, 533 MHz FSB",Discontinued,Q1'02,1,N/A,2.40,0.5,L2 Cache,N/A
"Pentium 4 2.50 GHz, 512K Cache, 400 MHz FSB",Discontinued,Q1'02,1,N/A,2.50,0.5,L2 Cache,N/A
"Pentium 4 2.53 GHz, 512K Cache, 533 MHz FSB",Discontinued,N/A,1,N/A,2.53,0.5,L2 Cache,N/A
"Pentium 4 2.60 GHz, 512K Cache, 400 MHz FSB",Discontinued,Q1'02,1,N/A,2.60,0.5,L2 Cache,N/A
"Pentium 4 2.66 GHz, 1M Cache, 533 MHz FSB",Discontinued,N/A,1,N/A,2.66,1,L2 Cache,N/A
"Pentium 4 2.66 GHz, 512K Cache, 533 MHz FSB",Discontinued,N/A,1,N/A,2.66,0.5,L2 Cache,N/A
"Pentium 4 2.80 GHz, 1M Cache, 533 MHz FSB",Discontinued,N/A,1,N/A,2.80,1,L2 Cache,N/A
"Pentium 4 2.80 GHz, 512K Cache, 400 MHz FSB",Discontinued,N/A,1,N/A,2.80,0.5,L2 Cache,N/A
"Pentium 4 2.80 GHz, 512K Cache, 533 MHz FSB",Discontinued,Q1'02,1,N/A,2.80,0.5,L2 Cache,N/A
"Pentium 4 2.80A GHz, 1M Cache, 533 MHz FSB",Discontinued,N/A,1,N/A,2.80,1,L2 Cache,N/A
Pentium 4 505,Discontinued,N/A,1,N/A,2.66,1,L2 Cache,N/A
Pentium 4 505/505J,Discontinued,Q1'05,1,N/A,2.66,1,L2 Cache,N/A
Pentium 4 506,Discontinued,Q2'05,1,N/A,2.66,1,L2 Cache,N/A
Pentium 4 511,Discontinued,Q4'05,1,N/A,2.80,1,L2 Cache,N/A
Pentium 4 511 (2.80A GHz),Discontinued,N/A,1,N/A,2.80,1,L2 Cache,N/A
Pentium 4 515/515J,Discontinued,Q3'05,1,N/A,2.93,1,L2 Cache,N/A
Pentium 4 516,Discontinued,Q4'05,1,N/A,2.93,1,L2 Cache,N/A
Pentium 4 517 Supporting HT Technology,Discontinued,Q3'05,1,N/A,2.93,1,L2 Cache,N/A
Pentium 4 519J,Discontinued,N/A,1,N/A,3.06,1,L2 Cache,N/A
Pentium 4 519K,Discontinued,Q4'04,1,N/A,3.06,1,L2 Cache,N/A
Pentium 4 520 Supporting HT Technology,Discontinued,Q2'04,1,N/A,2.80,1,L2 Cache,N/A
Pentium 4 520J Supporting HT Technology,Discontinued,Q4'04,1,N/A,2.80,1,L2 Cache,N/A
Pentium 4 521 Supporting HT Technology,Discontinued,Q3'05,1,N/A,2.80,1,L2 Cache,N/A
Pentium 4 524 Supporting HT Technology,Discontinued,Q2'06,1,N/A,3.06,1,L2 Cache,N/A
Pentium 4 530/530J Supporting HT Technology,Discontinued,Q2'04,1,N/A,3.00,1,L2 Cache,N/A
Pentium 4 530J Supporting HT Technology,Discontinued,Q4'04,1,N/A,3.00,1,L2 Cache,N/A
Pentium 4 531 Supporting HT Technology,Discontinued,Q2'04,1,N/A,3.00,1,L2 Cache,N/A
Pentium 4 540/540J Supporting HT Technology,Discontinued,Q2'04,1,N/A,3.20,1,L2 Cache,N/A
Pentium 4 540J Supporting HT Technology,Discontinued,Q4'05,1,N/A,3.20,1,L2 Cache,N/A
Pentium 4 541 Supporting HT Technology,Discontinued,Q3'04,1,N/A,3.20,1,L2 Cache,N/A
Pentium 4 550 Supporting HT Technology,Discontinued,Q2'04,1,N/A,3.40,1,L2 Cache,N/A
Pentium 4 550J Supporting HT Technology,Discontinued,Q4'04,1,N/A,3.40,1,L2 Cache,N/A
Pentium 4 551 Supporting HT Technology,Discontinued,Q2'05,1,N/A,3.40,1,L2 Cache,N/A
Pentium 4 560/560J Supporting HT Technology,Discontinued,N/A,1,N/A,3.60,1,L2 Cache,N/A
Pentium 4 560J Supporting HT Technology,Discontinued,N/A,1,N/A,3.60,1,L2 Cache,N/A
Pentium 4 561 Supporting HT Technology,Discontinued,Q3'05,1,N/A,3.60,1,L2 Cache,N/A
Pentium 4 570J Supporting HT Technology,Discontinued,Q4'04,1,N/A,3.80,1,L2 Cache,N/A
Pentium 4 571 Supporting HT Technology,Discontinued,Q3'05,1,N/A,3.80,1,L2 Cache,N/A
Pentium 4 620 Supporting HT Technology,Discontinued,N/A,1,N/A,2.80,2,L2 Cache,N/A
Pentium 4 630 Supporting HT Technology,Discontinued,Q4'05,1,N/A,3.00,2,L2 Cache,N/A
Pentium 4 631 Supporting HT Technology,Discontinued,Q1'06,1,N/A,3.00,2,L2 Cache,N/A
